,Entrez_Gene_Id,counts,Perc_Bi_Allelic
680,57144,3,0.0
681,152206,3,0.0
682,55511,3,0.0
683,344148,3,0.0
684,57722,3,0.0
685,22941,3,0.0
686,23101,3,0.0
687,2533,3,0.0
688,6573,3,0.0
689,375337,3,0.0
690,23077,3,0.0
691,2181,3,0.0
692,4542,3,0.0
693,4990,3,0.0
694,8714,3,0.0
695,10497,3,0.0
696,6597,3,0.0
697,2559,3,0.0
698,10699,3,0.0
699,4604,3,0.0
700,317719,3,0.0
701,80243,3,0.0
702,324,3,0.0
703,57670,3,0.0
704,157753,3,0.0
705,23165,3,0.0
706,2019,3,0.0
707,64123,3,0.0
708,89944,3,0.0
709,283316,3,0.0
710,387755,3,0.0
711,8792,3,0.0
712,114548,3,0.0
713,10915,3,0.0
714,1915,3,0.0
715,4670,3,0.0
716,10595,3,0.0
717,22885,3,0.0
718,10111,3,0.0
719,375449,3,0.0
720,84631,3,0.0
721,283284,3,0.0
722,55209,3,0.0
723,4010,3,0.0
724,5979,3,0.0
725,8842,3,0.0
726,5297,3,0.0
727,84445,3,0.0
728,5257,3,0.0
729,85445,3,0.0
730,10137,3,0.0
731,6709,3,0.0
732,54822,3,0.0
733,54806,3,0.0
734,3581,3,0.0
735,128506,3,0.0
736,84530,3,0.0
737,140612,3,0.0
738,94160,3,0.0
739,27253,3,0.0
740,25960,3,0.0
741,53833,3,0.0
742,64084,3,0.0
743,219736,3,0.0
744,9362,3,0.0
745,151516,3,0.0
746,2674,3,0.0
747,4745,3,0.0
748,79258,3,0.0
749,390538,3,0.0
750,5308,3,0.0
751,10857,3,0.0
752,54934,3,0.0
753,7373,3,0.0
754,5926,3,0.0
755,3383,3,0.0
756,338322,3,0.0
757,10057,3,0.0
758,1877,3,0.0
759,65267,3,0.0
760,3064,3,0.0
761,1310,3,0.0
762,146713,3,0.0
763,56163,3,0.0
764,51594,3,0.0
765,4513,3,0.0
766,121256,3,0.0
767,8623,3,0.0
768,64761,3,0.0
769,29944,3,0.0
770,8671,3,0.0
771,57198,3,0.0
772,2554,3,0.0
773,8863,3,0.0
774,118788,3,0.0
775,23461,3,0.0
776,1075,3,0.0
777,375748,3,0.0
778,1006,3,0.0
779,11214,3,0.0
780,84970,3,0.0
781,11262,3,0.0
782,9231,3,0.0
783,4204,3,0.0
784,56269,3,0.0
785,50649,3,0.0
786,158809,3,0.0
787,6872,3,0.0
788,23616,3,0.0
789,9295,3,0.0
790,23640,3,0.0
791,79993,3,0.0
792,57482,3,0.0
