,Run,Body_Site
8442,SRR1072007,Pancreas
8446,SRR1072104,Pancreas
8450,SRR1072199,Stomach
8457,SRR1072367,Brain - Frontal Cortex (BA9)
8471,SRR1072700,Stomach
8476,SRR1072821,Stomach
8480,SRR1072920,Stomach
8482,SRR1072972,Pancreas
8484,SRR1073021,Pancreas
8490,SRR1073167,Pancreas
8508,SRR1068953,Stomach
8516,SRR1069141,Liver
8517,SRR1069166,Stomach
8525,SRR1069352,Pancreas
8540,SRR1069714,Stomach
8543,SRR1069778,Stomach
8568,SRR1070382,Stomach
8569,SRR1070403,Pancreas
8575,SRR1070549,Stomach
8581,SRR1070689,Liver
8584,SRR1070764,Pancreas
8589,SRR1070884,Stomach
8626,SRR819719,Stomach
8628,SRR819771,Pancreas
8640,SRR820078,Brain - Cortex
8676,SRR821050,Pancreas
8683,SRR821231,Pancreas
8697,SRR821602,Brain - Frontal Cortex (BA9)
8699,SRR821666,Pancreas
8704,SRR816541,Pancreas
8714,SRR816770,Brain - Cortex
8765,SRR818033,Brain - Frontal Cortex (BA9)
8771,SRR818210,Brain - Frontal Cortex (BA9)
8808,SRR814195,Stomach
8811,SRR814268,Stomach
8835,SRR814820,Stomach
8841,SRR814967,Brain - Frontal Cortex (BA9)
8848,SRR815140,Liver
8856,SRR815326,Stomach
8871,SRR815711,Liver
8882,SRR815970,Stomach
8915,SRR811607,Pancreas
8931,SRR812012,Brain - Cortex
8937,SRR812152,Stomach
8948,SRR812436,Brain - Cortex
8953,SRR812598,Pancreas
8959,SRR812745,Pancreas
8971,SRR813208,Pancreas
8972,SRR813234,Stomach
9059,SRR810319,Brain - Cortex
9075,SRR810689,Stomach
9078,SRR810761,Pancreas
9081,SRR810829,Stomach
9083,SRR810877,Brain - Cortex
9090,SRR811029,Pancreas
9097,SRR811193,Stomach
9125,SRR663753,Brain - Cortex
9139,SRR664854,Brain - Cortex
9165,SRR807971,Liver
9166,SRR807995,Liver
9188,SRR808542,Stomach
9190,SRR808590,Pancreas
9191,SRR808614,Brain - Cortex
9233,SRR661973,Brain - Frontal Cortex (BA9)
9248,SRR662233,Brain - Frontal Cortex (BA9)
9268,SRR662534,Brain - Frontal Cortex (BA9)
9298,SRR663633,Brain - Frontal Cortex (BA9)
9299,SRR663645,Pancreas
9303,SRR660626,Brain - Cortex
9309,SRR660933,Brain - Cortex
9336,SRR661349,Brain - Frontal Cortex (BA9)
9363,SRR663320,Brain - Cortex
9386,SRR665405,Pancreas
9506,SRR656982,Pancreas
9515,SRR657127,Brain - Frontal Cortex (BA9)
9540,SRR657635,Brain - Frontal Cortex (BA9)
9561,SRR658719,Pancreas
9586,SRR659555,Brain - Cortex
9591,SRR659649,Liver
9649,SRR656457,Pancreas
9657,SRR656745,Brain - Cortex
9667,SRR657754,Brain - Frontal Cortex (BA9)
9668,SRR657777,Brain - Frontal Cortex (BA9)
9689,SRR658307,Brain - Frontal Cortex (BA9)
9706,SRR627455,Brain - Cortex
9718,SRR654874,Brain - Cortex
9794,SRR821043,Liver
